name_eng_x,url,name_new,name_kor,name_eng_y
Seung Han Ahn,https://www.baseball-reference.com/register/player.fcgi?id=ahn---000seu,seung han ahn,안승한,Seung-Han Ahn
Raúl Alcántara,https://www.baseball-reference.com/register/player.fcgi?id=alcant001rau,raul alcantara,알칸타라,Raul Alcántara
Jordan Balazovic,https://www.baseball-reference.com/register/player.fcgi?id=balazo000jor,jordan balazovic,발라조빅,Jordan Balazovic
Kyu Bin Chang,https://www.baseball-reference.com/register/player.fcgi?id=chang-001kyu,kyu bin jang,장규빈,Gyu-Bin Jang
Ji Kang Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--000jik,ji kang choi,최지강,Ji-Kang Choi
Jong In Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--002jon,jong in choi,최종인,Jong-In Choi
Jun Ho Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--002jun,jun ho choi,최준호,Jun-Ho Choi
Seung Yong Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--004seu,seung yong choi,최승용,Seung-Yong Choi
Been Gwak,https://www.baseball-reference.com/register/player.fcgi?id=gwak--000bee,bin kwak,곽빈,Been Gwak
Kyeong-min Ho,https://www.baseball-reference.com/register/player.fcgi?id=heo---000kye,kyeong min heo,허경민,Kyeong-Min Heo
Geon Hui Hong,https://www.baseball-reference.com/register/player.fcgi?id=hong--000keo,geon hui hong,홍건희,Geon-Hui Hong
Da Min Jeon,https://www.baseball-reference.com/register/player.fcgi?id=jeon--000dam,da min jeon,전다민,Da-min Jeon
Min Jae Jeon,https://www.baseball-reference.com/register/player.fcgi?id=jeon--000min,min jae jeon,전민재,Min-Jae Jeon
Cheol Won Jeong,https://www.baseball-reference.com/register/player.fcgi?id=jeong-000che,cheol won jeong,정철원,Cheol-Won Jeong
Soo Bin Jung,https://www.baseball-reference.com/register/player.fcgi?id=jeong-000soo,soo bin jeong,정수빈,Soo-Bin Jeong
Seung Ho Kang,https://www.baseball-reference.com/register/player.fcgi?id=kang--000seu,seung ho kang,강승호,Seung-Ho Kang
Dae Han Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---011dae,dae han kim,김대한,Dae-Han Kim
Dae Han Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---011dae,dae han kim,김대한,Dae-han Kim
Do Yun Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---000doy,do yun kim,김도윤,Do-yun Kim
Dong Ju Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---026don,dong joo kim,김동주,Dong-Joo Kim
Ho Jun Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---001hoj,ho jun kim,김호준,Ho-Jun Kim
In Tae Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---005in-,in tae kim,김인태,In-Tae Kim
Jae Hwan Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---008jae,jae hwan kim,김재환,Jae-Hwan Kim
Jae-ho Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---007jae,jae ho kim,김재호,Jae-Ho Kim
Kang Ryul Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---001gan,kang ryul kim,김강률,Kang-Ryul Kim
Ki-yeon Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---002ki-,ki yeon kim,김기연,Ki-Yeon Kim
Min Gyu Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---025min,min kyu kim,김민규,Min-Kyu Kim
Min Gyu Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---025min,min kyu kim,김민규,Min-Gyu Kim
Min Hyeok Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---021min,min hyeok kim,김민혁,Min-Hyeok Kim
Myeong Sin Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---005mye,myeong shin kim,김명신,Myeong-Shin Kim
Tae-geun Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---029tae,tae keun kim,김태근,Tae-Geun Kim
Taek Yeon Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---035tae,taek yeon kim,김택연,Taek-Yeon Kim
Yu Seong Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---000yus,yoo seong kim,김유성,Yoo-Seong Kim
Hwi Kwon,https://www.baseball-reference.com/register/player.fcgi?id=kwon--000hwi,hwi kwon,권휘,Hwi Kwon
